record_id,site,observation_date,collection_window,source_sheet,seconds_elapsed,speed_mps,walking_direction,distance_m,in_group,using_phone,texting,calling,holding_phone,gender_recorded,overtaken,overtakes,phone_follower,phone_follower_2,phone_follower_3,text_follower,group_follower
city_road_001,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,16.999999999996263,1.4117647058826632,away,24,N,N,N,N,Y,F,,,,N,,,
city_road_002,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,9.000000000006203,1.9999999999986215,towards,18,N,N,N,N,N,F,,,N,N,N,,
city_road_003,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,16.999999999996263,1.4117647058826632,away,24,N,N,N,N,Y,M,,,,N,,,
city_road_004,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,19.99999999999673,1.200000000000196,away,24,N,N,N,N,N,M,,,,N,,,
city_road_005,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,17.00000000000106,1.0588235294116988,towards,18,N,Y,N,Y,Y,F,,,N,N,N,,
city_road_006,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,15.999999999994508,1.500000000000515,away,24,N,N,N,N,N,F,,,,N,,,
city_road_007,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,17.00000000000106,1.0588235294116988,towards,18,N,Y,Y,N,Y,M,,,N,N,N,,
city_road_008,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,14.00000000000059,1.714285714285642,away,24,N,N,N,N,N,M,,,,N,,,
city_road_009,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,17.00000000000106,1.411764705882265,away,24,N,N,N,N,N,F,,,,N,,,
city_road_010,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,15.000000000002345,1.1999999999998123,towards,18,N,N,N,N,N,F,,,Y,N,N,,
city_road_011,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,17.000000000005855,1.4117647058818668,away,24,N,N,N,N,N,M,,,,N,,,
city_road_012,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,14.00000000000059,1.714285714285642,away,24,N,N,N,N,N,M,,,,N,,,
